,PropertyAddress,propertyURL,beds,bathrooms,size,ber lower,CountyOrPostcode,County,PropertyType,price bin,currentAskingPrice
1401," 16 Kinalea, Nohoval, Carrigaline, Cork",https://www.myhome.ie/residential/brochure/16-kinalea-nohoval-carrigaline-cork/4146259,3.0,2.0,77.0,E1,cork,cork,House,200000.0,195000.0
1402," 50 Distillery Court, The Maltings, Ballincollig, Cork",https://www.myhome.ie/residential/brochure/50-distillery-court-the-maltings-ballincollig-cork/4148267,2.0,2.0,181.06899999618523,B3,cork,cork,Apartment,220000.0,210000.0
1403," 15 The Courtyard, Mill Race, Midleton, Cork",https://www.myhome.ie/residential/brochure/15-the-courtyard-mill-race-midleton-cork/4147391,2.0,2.0,181.06899999618523,C1,cork,cork,Apartment,160000.0,150000.0
1404," Knockbrown, Bandon, Co. Cork",https://www.myhome.ie/residential/brochure/knockbrown-bandon-co-cork/4147394,3.0,3.0,181.06899999618523,D2,cork,cork,House,320000.0,300000.0
1405," 9 Ashbrook, Castlelake, Carrigtwohill, Cork",https://www.myhome.ie/residential/brochure/9-ashbrook-castlelake-carrigtwohill-cork/4147370,2.0,2.0,181.06899999618523,C1,cork,cork,Apartment,160000.0,140000.0
1406," The Square, Knocknagree, Mallow, Cork",https://www.myhome.ie/residential/brochure/the-square-knocknagree-mallow-cork/4147326,2.0,1.0,145.0,D1,cork,cork,House,120000.0,105000.0
1407," The Glebe, Coachford, Macroom, Cork",https://www.myhome.ie/residential/brochure/the-glebe-coachford-macroom-cork/4147255,5.0,4.0,181.06899999618523,B3,cork,cork,House,360000.0,350000.0
1408," 29 Ardfallen Estate, Douglas Road, Douglas, Cork City",https://www.myhome.ie/residential/brochure/29-ardfallen-estate-douglas-road-douglas-cork-city/4146900,3.0,1.0,103.47,F,cork,cork,House,400000.0,380000.0
1409," 58 Barrack Street, City Centre Sth, Cork City",https://www.myhome.ie/residential/brochure/58-barrack-street-city-centre-sth-cork-city/4146782,3.0,2.0,181.06899999618523,G,cork,cork,House,180000.0,160000.0
1410," St.Pios, Kilkern, Clonakilty,   West Cork",https://www.myhome.ie/residential/brochure/st-pios-kilkern-clonakilty-west-cork/4120449,5.0,3.0,181.06899999618523,D1,cork,cork,House,380000.0,375000.0
1411," 54 Heatherfield Close, Waterfall, Cork",https://www.myhome.ie/residential/brochure/54-heatherfield-close-waterfall-cork/4146739,5.0,4.0,181.06899999618523,B3,cork,cork,House,520000.0,500000.0
1412," Ballybeg, Mallow, Co Cork, P51 X592",https://www.myhome.ie/residential/brochure/ballybeg-mallow-co-cork-p51-x592/4146603,4.0,3.0,204.4,EXEMPT,cork,cork,House,380000.0,375000.0
1413," Glenview, Granig, Minane Bridge, Co. Cork",https://www.myhome.ie/residential/brochure/glenview-granig-minane-bridge-co-cork/4146507,4.0,1.0,120.0,C2,cork,cork,House,300000.0,295000.0
1414," 21 Wheatfields, Kilmoney, Carrigaline, Cork",https://www.myhome.ie/residential/brochure/21-wheatfields-kilmoney-carrigaline-cork/4146446,4.0,4.0,305.0,C1,cork,cork,House,540000.0,530000.0
1415," 7 Hartlands Avenue, The Lough, Cork",https://www.myhome.ie/residential/brochure/7-hartlands-avenue-the-lough-cork/4103537,3.0,1.0,98.0,unk,cork,cork,House,280000.0,275000.0
1416," Ardeen, Barringtons Avenue, Blackrock, Co Cork",https://www.myhome.ie/residential/brochure/ardeen-barringtons-avenue-blackrock-co-cork/3687598,5.0,2.396250808015514,380.0,E1,cork,cork,House,1620000.0,1600000.0
1417," Maryville, Carrigaline Road, Douglas, Cork, T12 RD2P",https://www.myhome.ie/residential/brochure/maryville-carrigaline-road-douglas-cork-t12-rd2p/4116881,3.0,2.0,117.4,C2,cork,cork,House,560000.0,545000.0
1418," Schull, Schull, West Cork",https://www.myhome.ie/residential/brochure/schull-schull-west-cork/4146212,3.0,2.0,181.06899999618523,unk,cork,cork,House,300000.0,299000.0
1419," 2 The Meadows, Belgooly, Cork",https://www.myhome.ie/residential/brochure/2-the-meadows-belgooly-cork/4146108,3.0,2.0,120.0,C3,cork,cork,House,260000.0,245000.0
1420," The Cottage, Lisnahorna, Whites Cross, Cork",https://www.myhome.ie/residential/brochure/the-cottage-lisnahorna-whites-cross-cork/4142942,3.0,1.0,62.0,unk,cork,cork,House,240000.0,225000.0
1421," 16 Tiffany Downs, Bishopstown, Cork",https://www.myhome.ie/residential/brochure/16-tiffany-downs-bishopstown-cork/4106500,3.0,1.0,87.0,D1,cork,cork,House,280000.0,265000.0
1422," 70 The Glenties , Macroom, Cork",https://www.myhome.ie/residential/brochure/70-the-glenties-macroom-cork/4145797,4.0,3.0,132.63,C1,cork,cork,House,220000.0,210000.0
1423," 11, Rockgrove, Youghal Road, Midleton, Cork",https://www.myhome.ie/residential/brochure/11-rockgrove-youghal-road-midleton-cork/3950335,4.0,3.0,181.06899999618523,C1,cork,cork,House,340000.0,325000.0
1424," 9 Oakmount, Tower, Cork",https://www.myhome.ie/residential/brochure/9-oakmount-tower-cork/4145728,3.0,2.0,181.06899999618523,D1,cork,cork,House,300000.0,295000.0
1425," No 2 Ardcarraig, Skibbereen,   West Cork",https://www.myhome.ie/residential/brochure/no-2-ardcarraig-skibbereen-west-cork/4145736,4.0,2.0,181.06899999618523,unk,cork,cork,House,200000.0,199000.0
1426," Mountrivers, Rylane , Macroom, Cork",https://www.myhome.ie/residential/brochure/mountrivers-rylane-macroom-cork/4143997,3.0,2.0,105.0,unk,cork,cork,House,180000.0,160000.0
1427," Lake View, Drinagh West, Drinagh,   West Cork",https://www.myhome.ie/residential/brochure/lake-view-drinagh-west-drinagh-west-cork/4145716,3.0,2.0,181.06899999618523,unk,cork,cork,House,240000.0,230000.0
1428," Minanes, Drinagh,   West Cork",https://www.myhome.ie/residential/brochure/minanes-drinagh-west-cork/4145709,4.0,3.0,181.06899999618523,unk,cork,cork,House,300000.0,280000.0
1429," No 30, Mount Eden, Kenley, Model Farm Road,   Cork City",https://www.myhome.ie/residential/brochure/no-30-mount-eden-kenley-model-farm-road-cork-city/4143895,4.0,1.0,124.71,E1,cork,cork,House,340000.0,330000.0
1430," 389 Blarney Street , Cork City, Cork",https://www.myhome.ie/residential/brochure/389-blarney-street-cork-city-cork/4143989,5.0,1.0,86.81,D1,cork,cork,House,200000.0,185000.0
1431," Deora De, Myrtleville, Co.Cork, P43 V092",https://www.myhome.ie/residential/brochure/deora-de-myrtleville-co-cork-p43-v092/4144002,4.0,2.0,150.0,D1,cork,cork,House,340000.0,325000.0
1432," 82 Silverheights Avenue, Mayfield, Cork",https://www.myhome.ie/residential/brochure/82-silverheights-avenue-mayfield-cork/4143974,3.0,1.0,181.06899999618523,D1,cork,cork,House,180000.0,175000.0
1433," 2 Coppinger Lane, Castleredmond Court, Midleton, Cork",https://www.myhome.ie/residential/brochure/2-coppinger-lane-castleredmond-court-midleton-cork/4143968,3.0,2.0,181.06899999618523,C2,cork,cork,Apartment,180000.0,160000.0
1434," 26 Rockboro Heights, Waterpark, Carrigaline, Cork",https://www.myhome.ie/residential/brochure/26-rockboro-heights-waterpark-carrigaline-cork/4136906,3.0,1.0,84.0,D1,cork,cork,House,220000.0,210000.0
1435,"  43 Fort Hill, Douglas, Co. Cork, Douglas, Cork",https://www.myhome.ie/residential/brochure/43-fort-hill-douglas-co-cork-douglas-cork/4143877,3.0,3.0,181.06899999618523,C1,cork,cork,House,300000.0,290000.0
1436," No.55 The Cotswolds, Midleton, Cork",https://www.myhome.ie/residential/brochure/no-55-the-cotswolds-midleton-cork/4143600,4.0,3.0,181.06899999618523,C3,cork,cork,House,300000.0,285000.0
1437," 12 McDonagh Terrace, Fermoy, Co. Cork",https://www.myhome.ie/residential/brochure/12-mcdonagh-terrace-fermoy-co-cork/4143111,4.0,1.0,126.0,E2,cork,cork,House,200000.0,185000.0
1438," 14 Mahon Park, Ringmahon Road, Blackrock, Cork",https://www.myhome.ie/residential/brochure/14-mahon-park-ringmahon-road-blackrock-cork/4143062,2.0,1.0,72.76,F,cork,cork,House,200000.0,185000.0
1439," 159 Knockpogue Avenue, Farranree, Cork",https://www.myhome.ie/residential/brochure/159-knockpogue-avenue-farranree-cork/4142985,2.0,1.0,72.56,G,cork,cork,House,160000.0,145000.0
1440," Apartment 5, Marlee Court, Mary Street, City Centre Sth, Cork",https://www.myhome.ie/residential/brochure/apartment-5-marlee-court-mary-street-city-centre-sth-cork/4142840,2.0,1.0,58.1,E2,cork,cork,Apartment,160000.0,159500.0
1441," Carrig View, 8 Dundanion Road, Beaumont Park, Ballintemple, Cork City",https://www.myhome.ie/residential/brochure/carrig-view-8-dundanion-road-beaumont-park-ballintemple-cork-city/4142896,2.0,1.0,86.0,F,cork,cork,House,380000.0,365000.0
1442," 15 Liam Lynch Park, Glasheen Road, Wilton, Cork",https://www.myhome.ie/residential/brochure/15-liam-lynch-park-glasheen-road-wilton-cork/4142804,2.0,1.0,181.06899999618523,C2,cork,cork,House,300000.0,285000.0
1443," Leades Cross, Coachford, Macroom, Cork",https://www.myhome.ie/residential/brochure/leades-cross-coachford-macroom-cork/4142096,2.0,1.0,181.06899999618523,G,cork,cork,House,60000.0,50000.0
1444," 10 White Street, St John's Mews, City Centre Sth, Cork City",https://www.myhome.ie/residential/brochure/10-white-street-st-john-s-mews-city-centre-sth-cork-city/4142092,3.0,2.0,90.0,D2,cork,cork,House,260000.0,245000.0
1445," Station Road, Millstreet, Cork",https://www.myhome.ie/residential/brochure/station-road-millstreet-cork/4141907,3.0,1.0,181.06899999618523,unk,cork,cork,House,100000.0,95000.0
1446," 18 An Tobairin, Old Timoleague Road, Clonakilty, West Cork",https://www.myhome.ie/residential/brochure/18-an-tobairin-old-timoleague-road-clonakilty-west-cork/4111081,3.0,3.0,103.0,C3,cork,cork,House,300000.0,295000.0
1447," 9 Carrigroe, Brigown, Mitchelstown, Cork",https://www.myhome.ie/residential/brochure/9-carrigroe-brigown-mitchelstown-cork/4140514,3.0,3.0,181.06899999618523,C2,cork,cork,House,200000.0,195000.0
1448," 32 The Glenties, Macroom, Co Cork",https://www.myhome.ie/residential/brochure/32-the-glenties-macroom-co-cork/4140511,3.0,2.0,181.06899999618523,C3,cork,cork,House,220000.0,210000.0
1449," 4 Meadowbrook, Herons Wood, Carrigaline, Cork",https://www.myhome.ie/residential/brochure/4-meadowbrook-herons-wood-carrigaline-cork/4140331,4.0,2.0,162.0,C2,cork,cork,House,400000.0,395000.0
1450," 1 Ballymore, Cobh, Cork",https://www.myhome.ie/residential/brochure/1-ballymore-cobh-cork/4136696,3.6139202855443187,2.396250808015514,181.06899999618523,C1,cork,cork,House,200000.0,180000.0
1451," Bweeng East, Bweeng, Co Cork, P51 P7W8",https://www.myhome.ie/residential/brochure/bweeng-east-bweeng-co-cork-p51-p7w8/4140239,4.0,2.0,148.6,C2,cork,cork,House,280000.0,260000.0
1452," No 2 Laurel Court, Dwyers Rd., Midleton, Co. Cork, Midleton, Cork",https://www.myhome.ie/residential/brochure/no-2-laurel-court-dwyers-rd-midleton-co-cork-midleton-cork/4139919,3.0,1.0,181.06899999618523,D2,cork,cork,House,300000.0,280000.0
1453," Apt 106, Ashbrook, Victoria Cross, Cork, Cork City, Cork",https://www.myhome.ie/residential/brochure/apt-106-ashbrook-victoria-cross-cork-cork-city-cork/4139858,3.0,1.0,181.06899999618523,D1,cork,cork,Apartment,180000.0,175000.0
1454," 23 The Laurels, Fota Rock, Carrigtwohill, Cork",https://www.myhome.ie/residential/brochure/23-the-laurels-fota-rock-carrigtwohill-cork/4139691,2.0,2.0,181.06899999618523,C1,cork,cork,House,200000.0,185000.0
1455," Carrigduff, Mourneabbey, Mallow, Co. Cork",https://www.myhome.ie/residential/brochure/carrigduff-mourneabbey-mallow-co-cork/4139641,8.0,2.396250808015514,181.06899999618523,unk,cork,cork,House,520000.0,500000.0
1456," 38 Kilbrody, Mount Oval, Rochestown, Cork, T12 FW6N",https://www.myhome.ie/residential/brochure/38-kilbrody-mount-oval-rochestown-cork-t12-fw6n/4139615,4.0,3.0,125.0,C2,cork,cork,House,400000.0,380000.0
1457," 1 The Parks, Churchtown, Mallow",https://www.myhome.ie/residential/brochure/1-the-parks-churchtown-mallow/4139588,4.0,3.0,109.57276315789473,C2,dublin 16,dublin,House,240000.0,235000.0
1458," 3 The Helm, Weaver's Point, Crosshaven, Cork",https://www.myhome.ie/residential/brochure/3-the-helm-weaver-s-point-crosshaven-cork/4139519,2.0,2.0,181.06899999618523,B3,cork,cork,Apartment,280000.0,265000.0
1459," 9 Landsborough Avenue, Douglas, Cork City",https://www.myhome.ie/residential/brochure/9-landsborough-avenue-douglas-cork-city/4139414,4.0,3.0,171.99,D1,cork,cork,House,580000.0,575000.0
1460," Brookwood, Kilnagurteen, Macroom, Cork",https://www.myhome.ie/residential/brochure/brookwood-kilnagurteen-macroom-cork/4139376,5.0,2.0,181.06899999618523,C3,cork,cork,House,320000.0,300000.0
1461," Carrigrhu House, Cuskinny, Cobh, Cork",https://www.myhome.ie/residential/brochure/carrigrhu-house-cuskinny-cobh-cork/4089468,5.0,3.0,353.0,F,cork,cork,House,1220000.0,1200000.0
1462," 120 Pairc Na gCapall, Kilworth, Cork",https://www.myhome.ie/residential/brochure/120-pairc-na-gcapall-kilworth-cork/4139313,3.0,3.0,181.06899999618523,B3,cork,cork,House,200000.0,185000.0
1463," School Rd., Upper Agahda, Midleton, Cork",https://www.myhome.ie/residential/brochure/school-rd-upper-agahda-midleton-cork/4136824,3.0,1.0,181.06899999618523,unk,cork,cork,House,240000.0,220000.0
1464," 6 The Grand, Crosshaven, Cork",https://www.myhome.ie/residential/brochure/6-the-grand-crosshaven-cork/4124298,2.0,2.0,128.0,E1,cork,cork,Apartment,360000.0,350000.0
1465," 6 Ros Na Greine, Carrigaline, Cork",https://www.myhome.ie/residential/brochure/6-ros-na-greine-carrigaline-cork/4136813,3.0,2.0,100.0,D2,cork,cork,House,280000.0,265000.0
1466," Rocky Rd, Midleton, Cork",https://www.myhome.ie/residential/brochure/rocky-rd-midleton-cork/4136742,3.0,2.0,181.06899999618523,unk,cork,cork,House,440000.0,425000.0
1467," Ballyhimikin, Ladysbridge, Midleton, Cork",https://www.myhome.ie/residential/brochure/ballyhimikin-ladysbridge-midleton-cork/4136739,4.0,3.0,181.06899999618523,unk,cork,cork,House,400000.0,385000.0
1468," 191 Killeagh Gardens, Killeagh, Midleton, Cork",https://www.myhome.ie/residential/brochure/191-killeagh-gardens-killeagh-midleton-cork/4136732,3.0,3.0,181.06899999618523,C1,cork,cork,House,200000.0,195000.0
1469," No 22 Dun Orga, Cloyne, Midleton, Cork",https://www.myhome.ie/residential/brochure/no-22-dun-orga-cloyne-midleton-cork/4136719,3.0,1.0,181.06899999618523,D1,cork,cork,House,180000.0,169950.0
1470," 24 Riverside Rise, Rushbrooke, Cobh, Co.  Cork",https://www.myhome.ie/residential/brochure/24-riverside-rise-rushbrooke-cobh-co-cork/4096340,3.0,2.0,71.0,C1,cork,cork,House,180000.0,175000.0
1471," Knockahorrea East, Stagmount,, Rockchapel, Cork",https://www.myhome.ie/residential/brochure/knockahorrea-east-stagmount-rockchapel-cork/4136608,2.0,1.0,181.06899999618523,unk,cork,cork,House,100000.0,92000.0
1472," Rerrin Village, Bere Island, West Cork",https://www.myhome.ie/residential/brochure/rerrin-village-bere-island-west-cork/4135056,3.0,1.0,181.06899999618523,unk,cork,cork,House,100000.0,90000.0
1473," Curraghcrowley, Ballineen, Co. Cork",https://www.myhome.ie/residential/brochure/curraghcrowley-ballineen-co-cork/4133864,4.0,2.396250808015514,181.06899999618523,D2,cork,cork,House,180000.0,175000.0
1474," 3 Brian Boru Square, Fermoy, Co Cork",https://www.myhome.ie/residential/brochure/3-brian-boru-square-fermoy-co-cork/4133825,5.0,1.0,174.0,F,cork,cork,House,140000.0,120000.0
1475," 30 Cedarwood Close, Waterpark, Carrigaline, Cork",https://www.myhome.ie/residential/brochure/30-cedarwood-close-waterpark-carrigaline-cork/4009801,3.0,1.0,55.0,F,cork,cork,House,200000.0,195000.0
1476," 20 Course Side, Fota Island, Fota, Cork",https://www.myhome.ie/residential/brochure/20-course-side-fota-island-fota-cork/4133518,2.0,2.0,181.06899999618523,unk,cork,cork,House,300000.0,290000.0
1477," Ardgroom Outward, Ardgroom, West Cork",https://www.myhome.ie/residential/brochure/ardgroom-outward-ardgroom-west-cork/4133496,3.0,1.0,181.06899999618523,unk,cork,cork,House,100000.0,85000.0
1478," St. Martins, 49 Capwell Road, Turners Cross, Cork City",https://www.myhome.ie/residential/brochure/st-martins-49-capwell-road-turners-cross-cork-city/4133426,3.0,1.0,181.06899999618523,E1,cork,cork,House,200000.0,199000.0
1479," 18 Rivergrove, Riverstown, Glanmire, Cork",https://www.myhome.ie/residential/brochure/18-rivergrove-riverstown-glanmire-cork/4061794,4.0,3.0,111.85,C3,cork,cork,House,300000.0,290000.0
1480," 8 Ard Na Greine, Kilnagurteen, Macroom, Cork",https://www.myhome.ie/residential/brochure/8-ard-na-greine-kilnagurteen-macroom-cork/4130468,5.0,3.0,192.0,C2,cork,cork,House,300000.0,285000.0
1481," Bawnavota, Kinsale, Cork",https://www.myhome.ie/residential/brochure/bawnavota-kinsale-cork/4130470,4.0,3.0,181.06899999618523,C1,cork,cork,House,940000.0,925000.0
1482," Gorteenatarriff, , Mitchelstown, Cork",https://www.myhome.ie/residential/brochure/gorteenatarriff-mitchelstown-cork/4130448,3.0,1.0,181.06899999618523,unk,cork,cork,House,100000.0,80000.0
1483," Gurteenroe, New Street, Macroom, Co Cork",https://www.myhome.ie/residential/brochure/gurteenroe-new-street-macroom-co-cork/4130385,4.0,2.396250808015514,181.06899999618523,G,cork,cork,House,240000.0,230000.0
1484," Ahagouna Cottage, Carrigboy, Durrus,   West Cork",https://www.myhome.ie/residential/brochure/ahagouna-cottage-carrigboy-durrus-west-cork/4130375,3.0,2.0,181.06899999618523,E1,cork,cork,House,240000.0,220000.0
1485," 5 Sean Tobar, Ballydehob,   West Cork",https://www.myhome.ie/residential/brochure/5-sean-tobar-ballydehob-west-cork/4130356,3.0,2.0,181.06899999618523,unk,cork,cork,House,200000.0,198000.0
1486," TYPE D2, Millers Court, Old Quarter, Ballincollig, Co. Cork",https://www.myhome.ie/residential/brochure/type-d2-millers-court-old-quarter-ballincollig-co-cork/4130354,3.0,2.0,108.8,EXEMPT,cork,cork,House,360000.0,345000.0
1487," 6 Na Tuir, Cork Street, Macroom, Cork",https://www.myhome.ie/residential/brochure/6-na-tuir-cork-street-macroom-cork/4130311,3.0,1.0,80.96,D1,cork,cork,House,200000.0,185000.0
1488," 42 Beech Road, Muskerry Estate, Ballincollig, Cork",https://www.myhome.ie/residential/brochure/42-beech-road-muskerry-estate-ballincollig-cork/4130298,3.0,2.0,176.15565499999997,unk,kerry,kerry,House,260000.0,245000.0
1489," Glebe Marsh, Church Cross, Skibbereen,   West Cork",https://www.myhome.ie/residential/brochure/glebe-marsh-church-cross-skibbereen-west-cork/4130262,6.0,5.0,181.06899999618523,unk,cork,cork,House,380000.0,375000.0
1490," No 31 Cul na Greine, Drimoleague,   West Cork",https://www.myhome.ie/residential/brochure/no-31-cul-na-greine-drimoleague-west-cork/4130220,3.0,1.0,181.06899999618523,C2,cork,cork,House,180000.0,170000.0
1491," Kerry Road, Tower, Cork",https://www.myhome.ie/residential/brochure/kerry-road-tower-cork/4129444,5.0,3.0,167.48,C3,kerry,kerry,House,380000.0,370000.0
1492," Castlecor, Mallow, Co. Cork, P51 EY42",https://www.myhome.ie/residential/brochure/castlecor-mallow-co-cork-p51-ey42/4129264,3.0,1.0,132.3,G,cork,cork,House,100000.0,90000.0
1493," 27 Inchvale Park, Shamrock Lawn, Douglas, Cork",https://www.myhome.ie/residential/brochure/27-inchvale-park-shamrock-lawn-douglas-cork/4129142,3.0,2.0,181.06899999618523,G,cork,cork,House,260000.0,245000.0
1494," Cloverfield, Mitchelsfort, Watergrasshill, Cork",https://www.myhome.ie/residential/brochure/cloverfield-mitchelsfort-watergrasshill-cork/3159895,4.0,3.0,153.0,D2,cork,cork,House,360000.0,350000.0
1495," 16 Chestnut Avenue, Pairc Na gCapall, Kilworth, Cork",https://www.myhome.ie/residential/brochure/16-chestnut-avenue-pairc-na-gcapall-kilworth-cork/4128729,3.0,3.0,181.06899999618523,B3,cork,cork,House,180000.0,165000.0
1496," 13 Ashcroft Blackrock Road, Blackrock, Cork City",https://www.myhome.ie/residential/brochure/13-ashcroft-blackrock-road-blackrock-cork-city/4128672,2.0,1.0,61.14,D1,cork,cork,Apartment,220000.0,210000.0
1497," 10 Dromcill, Glenville, Co. Cork",https://www.myhome.ie/residential/brochure/10-dromcill-glenville-co-cork/4128662,4.0,2.0,181.06899999618523,B3,cork,cork,House,300000.0,285000.0
1498," Tinnabinna, Youghal, Cork",https://www.myhome.ie/residential/brochure/tinnabinna-youghal-cork/4127280,2.0,1.0,181.06899999618523,G,cork,cork,House,160000.0,150000.0
1499," 6 Lee Valley Cottages, Lee Valley Golf Club, Ovens, Cork",https://www.myhome.ie/residential/brochure/6-lee-valley-cottages-lee-valley-golf-club-ovens-cork/4127129,3.0,2.0,181.06899999618523,unk,cork,cork,House,200000.0,197500.0
1500," 19 Buttery Court, Market Square, Mallow, Cork",https://www.myhome.ie/residential/brochure/19-buttery-court-market-square-mallow-cork/4094497,1.0,1.0,181.06899999618523,unk,cork,cork,Apartment,120000.0,100000.0
1501," 4, The Avenue, Rockfield, Church Road, Blackrock, Cork",https://www.myhome.ie/residential/brochure/4-the-avenue-rockfield-church-road-blackrock-cork/4126928,4.0,3.0,137.0,D2,cork,cork,House,460000.0,450000.0
1502," 41 Fernway, Classes Lake, Ovens, Cork",https://www.myhome.ie/residential/brochure/41-fernway-classes-lake-ovens-cork/4126886,2.0,1.0,181.06899999618523,C1,cork,cork,Apartment,200000.0,195000.0
1503," Ballinreeshig, Ballygarvan, Co Cork, T12H9WE",https://www.myhome.ie/residential/brochure/ballinreeshig-ballygarvan-co-cork-t12h9we/4126646,3.0,2.0,143.8,C3,cork,cork,House,380000.0,370000.0
1504," 31 Togher Road, Cork, T12 EH1X",https://www.myhome.ie/residential/brochure/31-togher-road-cork-t12-eh1x/4126627,3.0,1.0,100.4,F,cork,cork,House,300000.0,285000.0
1505," Weston Villa, Georges Street, Mitchelstown, Cork",https://www.myhome.ie/residential/brochure/weston-villa-georges-street-mitchelstown-cork/4126574,4.0,2.0,181.06899999618523,unk,cork,cork,House,300000.0,280000.0
1506," Unit 1, Block C, Eden Hall, Model Farm Road, Cork",https://www.myhome.ie/residential/brochure/unit-1-block-c-eden-hall-model-farm-road-cork/4126589,4.0,4.0,97.3,C1,cork,cork,Apartment,160000.0,140000.0
1507," Ballymacandrick, Midleton, Cork",https://www.myhome.ie/residential/brochure/ballymacandrick-midleton-cork/4126553,2.0,2.396250808015514,181.06899999618523,unk,cork,cork,House,140000.0,120000.0
1508," 2 Gleann Tourig, Inch, Killeagh, Cork",https://www.myhome.ie/residential/brochure/2-gleann-tourig-inch-killeagh-cork/4126404,4.0,2.0,181.06899999618523,unk,cork,cork,House,380000.0,360000.0
1509," Mishells House, Mishells,, Bandon, West Cork",https://www.myhome.ie/residential/brochure/mishells-house-mishells-bandon-west-cork/4126356,6.0,4.0,181.06899999618523,C3,cork,cork,House,680000.0,675000.0
1510," 10, Woodford, Model Farm Road, Cork",https://www.myhome.ie/residential/brochure/10-woodford-model-farm-road-cork/4126347,4.0,2.0,103.4,D2,cork,cork,House,300000.0,295000.0
1511," 12, The Crescent, Dun Eala, Fermoy, Cork",https://www.myhome.ie/residential/brochure/12-the-crescent-dun-eala-fermoy-cork/4126191,3.0,3.0,181.06899999618523,C2,cork,cork,House,200000.0,185000.0
1512," 10 Woodford, Model Farm Road,   Cork City",https://www.myhome.ie/residential/brochure/10-woodford-model-farm-road-cork-city/4106721,4.0,2.0,181.06899999618523,D2,cork,cork,House,300000.0,295000.0
1513," 2 Rosehill, Carrigaline, Cork",https://www.myhome.ie/residential/brochure/2-rosehill-carrigaline-cork/4058438,6.0,5.0,253.0,D1,cork,cork,House,500000.0,485000.0
1514," Reenogreena South, Glandore, West Cork",https://www.myhome.ie/residential/brochure/reenogreena-south-glandore-west-cork/4126160,3.0,2.0,173.9,E1,cork,cork,House,340000.0,335000.0
1515," No. 180 Maple Woods, Ballinacurra, Midleton, Cork",https://www.myhome.ie/residential/brochure/no-180-maple-woods-ballinacurra-midleton-cork/4126019,3.0,3.0,181.06899999618523,C1,cork,cork,House,200000.0,195000.0
1516," Type G, Steeplewoods, Carrigrohane, Co. Cork",https://www.myhome.ie/residential/brochure/type-g-steeplewoods-carrigrohane-co-cork/4126002,4.0,3.0,170.9,A3,cork,cork,House,640000.0,620000.0
1517," Type E, Steeplewoods, Carrigrohane, Co. Cork",https://www.myhome.ie/residential/brochure/type-e-steeplewoods-carrigrohane-co-cork/4126000,4.0,3.0,196.6,A3,cork,cork,House,700000.0,680000.0
1518," Type D, Steeplewoods, Carrigrohane, Co. Cork",https://www.myhome.ie/residential/brochure/type-d-steeplewoods-carrigrohane-co-cork/4125999,4.0,3.0,223.0,A3,cork,cork,House,800000.0,790000.0
1519," Type C, Steeplewoods, Carrigrohane, Co. Cork",https://www.myhome.ie/residential/brochure/type-c-steeplewoods-carrigrohane-co-cork/4125998,4.0,3.0,229.6,EXEMPT,cork,cork,House,800000.0,790000.0
1520," Type B, Steeplewoods, Carrigrohane, Co. Cork",https://www.myhome.ie/residential/brochure/type-b-steeplewoods-carrigrohane-co-cork/4125997,4.0,3.0,268.0,A3,cork,cork,House,820000.0,800000.0
1521," Dunbhride, Knockanmore, Ovens, Co Cork, P31 E635",https://www.myhome.ie/residential/brochure/dunbhride-knockanmore-ovens-co-cork-p31-e635/4125996,4.0,2.396250808015514,198.6,D1,cork,cork,House,720000.0,700000.0
1522," The Cottage, Beach Road, Passage West, Cork",https://www.myhome.ie/residential/brochure/the-cottage-beach-road-passage-west-cork/4125294,2.0,1.0,181.06899999618523,F,cork,cork,House,100000.0,95000.0
1523," Coorycullane, Dunmanway,   West Cork",https://www.myhome.ie/residential/brochure/coorycullane-dunmanway-west-cork/4125189,4.0,2.0,181.06899999618523,D2,cork,cork,House,260000.0,250000.0
1524," 32 Bracken Wood , Blarney, Cork",https://www.myhome.ie/residential/brochure/32-bracken-wood-blarney-cork/4125135,4.0,3.0,124.4,C2,cork,cork,House,380000.0,369950.0
1525," No 13 The Moorings, Skibbereen,   West Cork",https://www.myhome.ie/residential/brochure/no-13-the-moorings-skibbereen-west-cork/4125075,3.0,2.0,181.06899999618523,C1,cork,cork,House,200000.0,190000.0
1526," Rock Brook, Baneshane, Midleton, Co Cork, P25 CH73",https://www.myhome.ie/residential/brochure/rock-brook-baneshane-midleton-co-cork-p25-ch73/4091298,3.6139202855443187,2.396250808015514,181.06899999618523,unk,cork,cork,House,320000.0,315000.0
1527," Kealfadda, Schull, Cork",https://www.myhome.ie/residential/brochure/kealfadda-schull-cork/4124951,3.0,3.0,181.06899999618523,unk,cork,cork,House,640000.0,630000.0
1528," 90 Fort Hill, Moneygourney, Douglas, Cork City",https://www.myhome.ie/residential/brochure/90-fort-hill-moneygourney-douglas-cork-city/4124799,3.0,3.0,103.99,C1,cork,cork,House,340000.0,325000.0
1529," 3 Bishopscourt Drive, Bishopstown, CorK, T12 X3VH",https://www.myhome.ie/residential/brochure/3-bishopscourt-drive-bishopstown-cork-t12-x3vh/4124748,4.0,2.0,146.8,D2,cork,cork,House,580000.0,575000.0
1530," 4 The Green, Waterpark, Carrigaline, Cork",https://www.myhome.ie/residential/brochure/4-the-green-waterpark-carrigaline-cork/4124461,4.0,3.0,113.46,C2,cork,cork,House,300000.0,295000.0
